Number;Name;colos;Scribes?;Year;LAT;VERN;No.mss;;Place;
13038;Marie Breton;1;1;c. 1520;;1;1;(Gedeeltelijk geschreven door Marie Breton…);;
13039;Marie Bruckerin;1;1;1473;1;;1;…scripta per manus Marie Bruckerin…;extra muros Argen(tinenses);
13040;Marie Coppin;;;;;1;0;Ce livre appartient a damoyselle Marie Coppin;;
13041;Marie Doeghens;1;1;1461;;1;1;die arme scriveresse suster Marie Doeghens;;
13042;Marie de Fortia;1;1;c. 1540;;1(?);1;(Made by Soeur Marie de Fortia for her aunt…);;
13043;Mari Iacob Willemsseons;1;1;1447;;1;1;(Geschreven door (=by) Zuster Mari Iacob Willemssoens dochter van Dordrecht, 1447);;
13044;Maritgen Ijans;1;1;s. 16;;1;1;Dit heeft ghescreven Maritgen Ijans dochter…;;
13045;Marien von Loyn;1;1;1470;;1;1;Dit buch ist angehaben zu schrijben in behoiff der Edelen woilgeborener Jonffrauwen Marien von Loyn….;;
13046;Maria Michiels;1;1;s. 15;;;1;(copiste, s. 15);;
13047;Maria Ormani;1;1;1453;1;;1;Ancilla Yhesu Christi Maria Ormani filia scripsit;;
13048;Mariette de Person;1;1;s. 15;;1;1;Je, Mariette, femme de Person l'escripvain, demourant a Reins ay escriptes ces heures de ma propre main.;;
13049;Margen Remen;1;1;s. 16;;1;1;(Geschreven door (=by) Marigen Remen (zie benden).;;
13050;Maria della Rossa;1;1;1413 (recte 1313;;1;1;Fu scritto questio libro…di sora Maria Rossa da Siena;;
13051;Mariiken Wouters;1;1;;;1;1;…den scriiver…Suster Mariiken Wouters van breda is hern naem.;;
13052;Marianna Pflügerin;1;1;1519;;1;1;(Geschrieben von Schwester Marianna Pflügerin, 1519);;
13630;Melania;1;1;s. 15;1;;1;Melania sca (calligraphe. S. 15);;
13631;Melchie Heyndriecks (???);;;s. 16;;1;0;Melchia heyndriecks (prieure de N.D. de Sion-Bruges, s. 16);;
13885;Suora N.;1;1;1518;;1;1;Copiata per me Suora N. del monasterio di S. Lucia di via San Gallo;;
14024;Magdelena Bragadino;0;0;s. 15in;1;;0;et eam fecit scribi…soror Magdelena Bragadino;;
14535;Mona Checha;0;0;1461;;1;0;Ed e di mona Checha donna di Lattanzio Ghuaschoni;;
14719;Ottilia Schede;1;1;1572;1;;1;sororres (sic) nomine S. Ottilia Schede in Maria Rosarium;;
1663b;Paula;;;1462?;;1;0;Sore Paula;;
15183;Petronella;1;1;ca. 1300;1;;1;"(Picta est S. Catherina quam adorat quaedam monialis; eadem in fine…se commendans vocatur Petronella, Praha Univ. 1114)";;
16949a;Petronella Vuytendhond;;;1578;;;1;;;
16155;Polismayna;1;1;1461;1;;1;Polismayna scripsit … hunc libellum ;;
16517;Renata a Lotharingia;0;0;1591;1;;0;Expensis ill. principis et d. R, predicti monasterii abbatissae, absolutus. ;Ecclesia monasterii s. Petri remensis, O. Fontisebraldi;
16843;Rosa;1;1;;1;;1;Amen quod Rose;;
16844;Rosa;1;1;1576;1;;1;Ad finem perduxit … Rosa;;
16845;Rosa Schugger;1;1;1471;;1;1;(Geschrieben von Rosa Schugger);;
13127b;Rustiela;;;1344;1;;0;Rustiela abbatissa S. M. Maioris Aquileg.;S. M. Maioris Aquilegia;
16956;Scharsella;1;1;1453;;1;1;Scritto per me Scharsella nelle Stinche (Firenze Ricc. 1543);;
16964;Scolastica de Mafeis;1;1;1484;1;;1;(Iste liber est monasterii s. Spiritus de Verona, quem scripsit dna soror S.;Monasterium s. Spiritus, Verona;
16965;Scotta;0;0;;1;;0;Domina Scotta fecit fieri hunc librum;;
17016;Seraphina;1;1;1400-t;1;;1;Qui scripsit scribat [etc]. Vivat in celis soror Seraphina… (Firenze);;
5353b;Sibilia;;;1100-t;;;1;;;
2886b;Sibilla de Bondorff;;;1478;;;1;;;
17317;Sophia;1;1;1300-t;1;;1;Qui scripsit scribat et longo tempore vivat. Que me scribebat Sophia nomen habebat. (Wolfenbüttel 542);;
15085b;Stella Melsa;;;1564;;;0;abbatissa S. Mariae Maggiore;abbatissa S. Mariae Maggiore;
2886b;Susanna de Falckenstein;;;1478;;;0;abbatissa O.S. Clar.;abbatissa O.S. Clar.;
313b;Theotildis ;;;;;;0;abbatissa;;
17805;Thiadera;1;1;;1;;1;Soror Thiadera me scripsit;;
17809;Tholosa;0;0;;;;0;;;
18330;Ursula;1;1;1400-t;1;;1;(Scripsit Ursula de Braittenstain professa in Kirchain;;
18331;Ursala Kollerin;1;1;1492;;1;1;hat swester U… …geschriben;;
18332;Ursula Heckin;1;1;1511;;1;1;…han ich U. diss biechlin geschriben;;
18333;Ursula Schanfiggin;1;1;1400-t;;1;1;Diss büchly han ich arme swöster U. etc…;;
18388;Veronica;1;1;1472;;1;1;(religieuse, copiste);;
141b;Veronica Welsserin;;;;;;0;;;
